# Exercise 13
-------------------------------------------------------------------------
# List the date difference, in days, between AddressBook creation and modification dates


mysql>  SELECT
            DATE(createdOn), DATE(modifiedOn), DATEDIFF(modifiedOn, createdOn) AS days
        FROM
            AddressBook;

+-----------------+------------------+------+
| DATE(createdOn) | DATE(modifiedOn) | days |
| 2015-04-03      | 2016-07-08       |  462 |
| 2015-12-20      | 2016-07-25       |  218 |
| 2016-02-15      | 2015-08-18       | -181 |
| 2015-07-04      | 2015-07-03       |   -1 |
| 2015-10-03      | 2015-11-12       |   40 |
| 2015-02-09      | 2016-06-25       |  502 |
| 2015-10-01      | 2016-03-24       |  175 |
| 2016-06-14      | 2015-07-26       | -324 |
| 2015-05-06      | 2015-12-25       |  233 |
| 2014-10-03      | 2016-02-27       |  512 |
| 2016-05-12      | 2015-01-06       | -492 |
| 2016-07-15      | 2015-06-29       | -382 |
| 2015-11-13      | 2016-02-15       |   94 |
| 2015-04-08      | 2016-03-07       |  334 |
| 2016-06-03      | 2015-07-14       | -325 |
| 2015-09-03      | 2015-04-16       | -140 |
| 2015-04-09      | 2014-10-16       | -175 |
| 2015-02-18      | 2016-05-14       |  451 |
| 2016-01-15      | 2015-12-03       |  -43 |
| 2014-12-15      | 2014-11-05       |  -40 |
| 2016-04-24      | 2016-01-09       | -106 |
| 2015-04-20      | 2015-08-06       |  108 |
| 2016-04-03      | 2016-02-20       |  -43 |
| 2016-03-11      | 2015-07-08       | -247 |
| 2015-04-12      | 2015-06-07       |   56 |
| 2015-09-10      | 2015-11-19       |   70 |
| 2014-12-12      | 2015-03-16       |   94 |
| 2015-07-25      | 2015-12-26       |  154 |
| 2015-10-17      | 2015-02-11       | -248 |
| 2015-01-16      | 2015-08-20       |  216 |
| 2016-04-06      | 2015-10-26       | -163 |
| 2016-04-08      | 2016-09-10       |  155 |
| 2015-12-17      | 2015-09-05       | -103 |
| 2016-07-11      | 2016-07-19       |    8 |
| 2015-07-22      | 2016-08-31       |  406 |
| 2015-12-23      | 2014-12-04       | -384 |
| 2015-05-27      | 2015-06-28       |   32 |
| 2015-08-09      | 2016-02-29       |  204 |
| 2015-04-30      | 2015-09-13       |  136 |
| 2015-01-21      | 2016-07-04       |  530 |
| 2015-08-12      | 2014-11-04       | -281 |
| 2014-12-07      | 2015-04-04       |  118 |
| 2016-02-07      | 2014-09-25       | -500 |
| 2015-02-23      | 2016-06-29       |  492 |
| 2015-08-26      | 2015-11-20       |   86 |
| 2014-10-15      | 2016-04-14       |  547 |
| 2015-10-03      | 2015-11-30       |   58 |
| 2016-02-11      | 2015-04-26       | -291 |
| 2015-10-18      | 2015-01-06       | -285 |
| 2016-06-22      | 2014-09-22       | -639 |
| 2015-05-04      | 2015-05-24       |   20 |
| 2014-12-01      | 2015-06-23       |  204 |
| 2015-02-25      | 2016-05-12       |  442 |
| 2016-08-04      | 2016-01-29       | -188 |
| 2014-10-05      | 2015-10-26       |  386 |
| 2015-09-05      | 2015-03-12       | -177 |
| 2015-08-20      | 2015-04-19       | -123 |
| 2016-02-28      | 2014-11-26       | -459 |
| 2015-02-26      | 2016-02-01       |  340 |
| 2016-08-02      | 2015-04-22       | -468 |
| 2016-09-04      | 2014-11-23       | -651 |
| 2014-12-26      | 2014-11-13       |  -43 |
| 2016-08-12      | 2015-08-22       | -356 |
| 2016-02-08      | 2016-06-15       |  128 |
| 2015-05-18      | 2015-06-30       |   43 |
| 2015-11-09      | 2014-11-11       | -363 |
| 2016-05-28      | 2016-03-05       |  -84 |
| 2014-12-30      | 2015-10-27       |  301 |
| 2016-01-17      | 2016-07-14       |  179 |
| 2016-04-26      | 2015-11-17       | -161 |
| 2015-10-04      | 2016-04-08       |  187 |
| 2015-04-28      | 2015-12-21       |  237 |
| 2015-02-19      | 2015-08-08       |  170 |
| 2015-12-08      | 2015-07-26       | -135 |
| 2015-08-12      | 2016-09-17       |  402 |
| 2015-07-20      | 2016-08-08       |  385 |
| 2015-05-17      | 2015-06-24       |   38 |
| 2016-01-01      | 2015-10-07       |  -86 |
| 2015-03-13      | 2015-02-07       |  -34 |
| 2015-11-27      | 2015-02-28       | -272 |
| 2015-10-16      | 2016-01-01       |   77 |
| 2014-11-22      | 2015-03-15       |  113 |
| 2015-07-15      | 2015-03-20       | -117 |
| 2015-05-01      | 2015-10-27       |  179 |
| 2016-06-19      | 2014-12-24       | -543 |
| 2016-06-20      | 2015-12-19       | -184 |
| 2016-06-26      | 2015-12-16       | -193 |
| 2016-01-03      | 2016-01-22       |   19 |
| 2015-06-20      | 2015-07-17       |   27 |
| 2015-03-27      | 2015-02-27       |  -28 |
| 2016-01-06      | 2015-06-21       | -199 |
| 2015-09-23      | 2015-10-08       |   15 |
| 2015-07-27      | 2015-02-04       | -173 |
| 2015-07-14      | 2015-02-24       | -140 |
| 2016-04-15      | 2014-12-24       | -478 |
| 2016-06-06      | 2015-09-19       | -261 |
| 2015-03-07      | 2016-06-16       |  467 |
| 2014-12-31      | 2015-06-10       |  161 |
| 2015-06-22      | 2016-06-07       |  351 |
| 2016-02-16      | 2015-12-15       |  -63 |
| 2015-08-05      | 2016-01-20       |  168 |
| 2015-03-15      | 2015-08-18       |  156 |
| 2015-06-17      | 2016-06-29       |  378 |
| 2016-06-23      | 2014-11-02       | -599 |
| 2016-08-12      | 2015-07-15       | -394 |
| 2014-09-19      | 2016-01-26       |  494 |
| 2016-02-11      | 2015-10-04       | -130 |
| 2015-01-20      | 2015-05-01       |  101 |
| 2015-02-04      | 2016-09-05       |  579 |
| 2016-01-31      | 2015-09-16       | -137 |
| 2016-04-28      | 2015-11-03       | -177 |
| 2016-06-08      | 2015-02-04       | -490 |
| 2014-12-02      | 2016-07-26       |  602 |
| 2016-06-14      | 2016-05-28       |  -17 |
| 2014-10-09      | 2016-06-05       |  605 |
| 2016-05-09      | 2015-03-04       | -432 |
| 2016-06-01      | 2014-10-09       | -601 |
| 2016-07-08      | 2014-09-25       | -652 |
| 2015-10-19      | 2015-03-03       | -230 |
| 2015-08-17      | 2016-04-07       |  234 |
| 2016-01-26      | 2014-10-21       | -462 |
| 2015-01-02      | 2014-12-18       |  -15 |
| 2016-05-04      | 2015-05-25       | -345 |
| 2014-10-01      | 2014-10-02       |    1 |
| 2016-04-09      | 2016-07-07       |   89 |
| 2015-02-28      | 2016-03-14       |  380 |
| 2015-02-20      | 2015-06-06       |  106 |
| 2016-08-10      | 2016-05-01       | -101 |
| 2015-05-27      | 2016-08-11       |  442 |
| 2014-12-21      | 2014-10-27       |  -55 |
| 2016-07-31      | 2015-06-06       | -421 |
| 2016-02-18      | 2015-03-25       | -330 |
| 2015-06-15      | 2016-08-29       |  441 |
| 2016-06-09      | 2016-06-04       |   -5 |
| 2014-11-21      | 2016-06-24       |  581 |
| 2015-08-10      | 2016-05-28       |  292 |
| 2015-12-26      | 2016-06-21       |  178 |
| 2015-09-28      | 2016-09-17       |  355 |
| 2016-02-25      | 2015-12-14       |  -73 |
| 2016-01-23      | 2014-11-02       | -447 |
| 2016-05-09      | 2016-05-01       |   -8 |
| 2015-08-14      | 2015-04-29       | -107 |
| 2016-08-16      | 2015-09-25       | -326 |
| 2015-02-07      | 2015-10-16       |  251 |
| 2016-05-26      | 2016-08-14       |   80 |
| 2016-07-05      | 2015-04-15       | -447 |
| 2015-08-14      | 2015-05-20       |  -86 |
| 2015-02-04      | 2015-08-18       |  195 |
| 2015-04-17      | 2016-06-15       |  425 |
| 2016-09-13      | 2016-09-11       |   -2 |
| 2015-02-23      | 2016-05-27       |  459 |
| 2015-08-01      | 2015-04-29       |  -94 |
| 2014-10-07      | 2016-07-16       |  648 |
| 2015-01-19      | 2016-08-03       |  562 |
| 2016-08-14      | 2015-03-04       | -529 |
| 2015-04-24      | 2014-09-21       | -215 |
| 2016-04-12      | 2015-08-02       | -254 |
| 2015-03-24      | 2015-09-28       |  188 |
| 2016-01-09      | 2015-02-06       | -337 |
| 2015-12-08      | 2016-08-02       |  238 |
| 2015-05-13      | 2016-02-09       |  272 |
| 2015-09-04      | 2016-06-07       |  277 |
| 2015-01-01      | 2015-08-14       |  225 |
| 2015-03-18      | 2016-09-14       |  546 |
| 2015-10-28      | 2016-03-06       |  130 |
| 2016-02-27      | 2015-12-17       |  -72 |
| 2015-01-05      | 2015-04-05       |   90 |
| 2014-10-17      | 2015-01-30       |  105 |
| 2014-10-19      | 2015-05-02       |  195 |
| 2015-12-28      | 2016-08-02       |  218 |
| 2014-11-05      | 2016-08-01       |  635 |
| 2014-12-16      | 2015-06-03       |  169 |
| 2015-01-14      | 2016-08-05       |  569 |
| 2015-09-28      | 2015-11-21       |   54 |
| 2016-05-01      | 2016-03-12       |  -50 |
| 2015-03-14      | 2016-01-09       |  301 |
| 2016-09-07      | 2015-11-14       | -298 |
| 2015-05-29      | 2014-11-18       | -192 |
| 2015-10-14      | 2016-07-01       |  261 |
| 2016-03-11      | 2016-05-02       |   52 |
| 2014-09-18      | 2015-11-24       |  432 |
| 2014-11-13      | 2016-08-07       |  633 |
| 2015-03-07      | 2015-01-22       |  -44 |
| 2015-01-11      | 2015-08-12       |  213 |
| 2016-01-11      | 2016-08-26       |  228 |
| 2015-10-18      | 2014-12-26       | -296 |
| 2016-01-25      | 2015-05-31       | -239 |
| 2015-04-19      | 2016-01-20       |  276 |
| 2015-03-24      | 2016-08-27       |  522 |
| 2016-02-24      | 2015-06-03       | -266 |
| 2015-09-17      | 2015-03-23       | -178 |
| 2014-12-22      | 2015-04-13       |  112 |
| 2016-05-10      | 2015-06-29       | -316 |
| 2014-11-04      | 2016-01-03       |  425 |
| 2015-04-11      | 2015-02-26       |  -44 |
| 2014-10-24      | 2016-06-24       |  609 |
| 2015-08-19      | 2015-04-23       | -118 |
| 2015-08-25      | 2016-05-01       |  250 |
| 2016-02-15      | 2016-09-16       |  214 |
| 2015-11-02      | 2015-12-24       |   52 |
| 2015-12-29      | 2016-08-19       |  234 |
| 2014-12-07      | 2014-10-06       |  -62 |
| 2016-06-23      | 2015-11-29       | -207 |
| 2016-06-22      | 2015-11-08       | -227 |
| 2016-05-04      | 2014-12-12       | -509 |
| 2016-04-10      | 2015-09-01       | -222 |
| 2015-04-27      | 2016-09-13       |  505 |
| 2014-10-26      | 2015-05-13       |  199 |
| 2015-10-15      | 2016-01-03       |   80 |
| 2015-02-06      | 2015-03-22       |   44 |
| 2015-05-06      | 2015-04-17       |  -19 |
| 2015-10-20      | 2016-02-08       |  111 |
| 2016-02-23      | 2015-08-08       | -199 |
| 2015-07-16      | 2015-12-20       |  157 |
| 2015-06-02      | 2016-04-04       |  307 |
| 2015-01-10      | 2015-06-08       |  149 |
| 2014-12-21      | 2014-11-16       |  -35 |
| 2015-09-18      | 2015-08-05       |  -44 |
| 2014-10-27      | 2015-02-03       |   99 |
| 2016-03-15      | 2016-03-31       |   16 |
| 2015-02-17      | 2016-01-09       |  326 |
| 2015-06-01      | 2015-07-06       |   35 |
| 2015-11-19      | 2015-02-03       | -289 |
| 2015-04-08      | 2016-01-14       |  281 |
| 2016-03-16      | 2014-11-11       | -491 |
| 2014-11-03      | 2016-02-01       |  455 |
| 2016-04-19      | 2016-04-09       |  -10 |
| 2014-11-20      | 2015-04-16       |  147 |
| 2015-01-31      | 2015-06-05       |  125 |
| 2015-09-20      | 2015-10-07       |   17 |
| 2014-10-05      | 2016-07-22       |  656 |
| 2015-01-25      | 2015-01-25       |    0 |
| 2016-02-04      | 2015-11-28       |  -68 |
| 2015-07-13      | 2016-02-15       |  217 |
| 2016-09-11      | 2015-12-09       | -277 |
| 2015-03-06      | 2016-09-10       |  554 |
| 2016-09-14      | 2015-11-05       | -314 |
| 2016-03-24      | 2016-06-26       |   94 |
| 2016-09-02      | 2016-08-21       |  -12 |
| 2016-05-10      | 2015-03-26       | -411 |
| 2015-11-12      | 2016-08-31       |  293 |
| 2015-06-30      | 2015-10-16       |  108 |
| 2015-11-01      | 2015-08-10       |  -83 |
| 2014-11-14      | 2016-08-03       |  628 |
| 2015-12-08      | 2015-07-20       | -141 |
| 2015-04-29      | 2016-04-06       |  343 |
| 2015-02-17      | 2015-04-29       |   71 |
| 2015-05-12      | 2015-08-29       |  109 |
| 2014-09-27      | 2015-10-16       |  384 |
| 2014-11-06      | 2015-04-19       |  164 |
| 2016-02-21      | 2015-04-16       | -311 |
| 2014-10-16      | 2014-11-23       |   38 |
| 2015-08-05      | 2015-01-21       | -196 |
| 2016-07-08      | 2016-09-07       |   61 |
| 2015-01-19      | 2016-02-12       |  389 |
| 2015-10-19      | 2015-12-08       |   50 |
| 2015-12-18      | 2014-10-17       | -427 |
| 2016-01-04      | 2016-09-12       |  252 |
| 2015-05-29      | 2015-08-04       |   67 |
| 2015-10-16      | 2014-11-20       | -330 |
| 2014-11-21      | 2015-03-18       |  117 |
| 2014-10-23      | 2016-05-03       |  558 |
| 2016-07-06      | 2016-07-07       |    1 |
| 2014-12-08      | 2016-05-08       |  517 |
| 2015-07-29      | 2015-12-14       |  138 |
| 2016-01-11      | 2016-02-14       |   34 |
| 2016-08-03      | 2016-06-27       |  -37 |
| 2016-03-05      | 2015-11-15       | -111 |
| 2015-02-19      | 2016-09-04       |  563 |
| 2014-10-20      | 2014-10-25       |    5 |
| 2014-10-09      | 2016-09-06       |  698 |
| 2015-09-14      | 2015-11-27       |   74 |
| 2015-08-16      | 2014-10-02       | -318 |
| 2015-07-23      | 2014-11-15       | -250 |
| 2015-09-20      | 2015-06-08       | -104 |
| 2014-10-28      | 2015-02-22       |  117 |
| 2015-12-07      | 2015-12-23       |   16 |
| 2015-09-19      | 2016-03-11       |  174 |
| 2015-12-02      | 2016-06-30       |  211 |
| 2015-10-24      | 2016-08-10       |  291 |
| 2016-06-11      | 2015-04-19       | -419 |
| 2015-06-25      | 2014-10-19       | -249 |
| 2014-11-06      | 2015-02-02       |   88 |
| 2015-12-28      | 2015-03-14       | -289 |
| 2015-09-06      | 2016-04-23       |  230 |
| 2016-01-26      | 2016-04-16       |   81 |
| 2015-11-11      | 2015-05-13       | -182 |
| 2016-01-20      | 2016-05-05       |  106 |
| 2016-03-29      | 2016-06-24       |   87 |
| 2014-12-08      | 2016-06-08       |  548 |
| 2016-08-16      | 2015-08-29       | -353 |
| 2014-10-23      | 2015-02-17       |  117 |
| 2015-01-23      | 2015-01-20       |   -3 |
| 2015-09-11      | 2015-12-07       |   87 |
| 2016-05-29      | 2015-09-16       | -256 |
| 2014-10-30      | 2015-11-05       |  371 |
| 2015-08-27      | 2015-01-01       | -238 |
| 2015-06-10      | 2015-12-27       |  200 |
| 2015-07-02      | 2014-12-22       | -192 |
| 2015-09-02      | 2016-08-11       |  344 |
| 2016-01-19      | 2015-05-13       | -251 |
| 2016-04-11      | 2015-09-18       | -206 |
| 2016-05-14      | 2016-04-09       |  -35 |
| 2014-11-04      | 2015-06-08       |  216 |
| 2016-02-11      | 2016-04-03       |   52 |
| 2016-06-16      | 2014-10-16       | -609 |
| 2015-01-21      | 2016-06-11       |  507 |
| 2015-01-03      | 2015-08-05       |  214 |
| 2015-09-28      | 2015-03-09       | -203 |
| 2015-01-25      | 2016-03-23       |  423 |
| 2015-09-19      | 2016-04-29       |  223 |
| 2016-03-19      | 2015-05-13       | -311 |
| 2016-08-07      | 2015-08-08       | -365 |
| 2016-03-13      | 2015-02-22       | -385 |
| 2015-06-01      | 2015-11-06       |  158 |
| 2015-07-16      | 2015-04-18       |  -89 |
| 2016-02-11      | 2015-07-19       | -207 |
| 2016-07-20      | 2016-01-09       | -193 |
| 2015-06-23      | 2016-05-20       |  332 |
| 2016-07-22      | 2015-05-23       | -426 |
| 2014-11-11      | 2015-01-07       |   57 |
| 2014-09-28      | 2015-12-15       |  443 |
| 2016-04-26      | 2015-05-25       | -337 |
| 2015-06-07      | 2015-03-03       |  -96 |
| 2015-06-23      | 2016-02-06       |  228 |
| 2016-02-27      | 2016-06-27       |  121 |
| 2015-11-23      | 2015-12-07       |   14 |
| 2015-09-05      | 2015-02-02       | -215 |
| 2016-01-12      | 2016-03-09       |   57 |
| 2016-03-17      | 2015-08-27       | -203 |
| 2014-10-25      | 2016-06-25       |  609 |
| 2014-12-03      | 2015-04-24       |  142 |
| 2015-10-01      | 2014-09-22       | -374 |
| 2015-03-22      | 2016-08-24       |  521 |
| 2015-12-28      | 2016-07-07       |  192 |
| 2014-12-04      | 2016-01-06       |  398 |
| 2016-07-21      | 2015-03-24       | -485 |
| 2016-07-17      | 2016-08-16       |   30 |
| 2015-03-24      | 2016-01-26       |  308 |
| 2016-01-23      | 2015-07-05       | -202 |
| 2015-09-25      | 2016-07-01       |  280 |
| 2015-06-11      | 2016-04-15       |  309 |
| 2014-10-11      | 2015-04-28       |  199 |
| 2016-08-27      | 2015-02-19       | -555 |
| 2016-02-29      | 2015-07-31       | -213 |
| 2015-07-30      | 2015-04-23       |  -98 |
| 2016-02-28      | 2014-12-17       | -438 |
| 2015-08-23      | 2014-10-19       | -308 |
| 2014-10-31      | 2016-05-28       |  575 |
| 2015-03-30      | 2016-08-28       |  517 |
| 2015-08-11      | 2015-12-12       |  123 |
| 2016-06-03      | 2016-01-15       | -140 |
| 2015-12-05      | 2015-10-23       |  -43 |
| 2015-08-04      | 2016-01-17       |  166 |
| 2015-09-14      | 2016-05-10       |  239 |
| 2016-07-05      | 2015-12-17       | -201 |
| 2016-07-26      | 2016-02-01       | -176 |
| 2016-02-22      | 2015-11-25       |  -89 |
| 2015-02-09      | 2015-11-25       |  289 |
| 2016-06-14      | 2015-12-13       | -184 |
| 2015-03-25      | 2015-10-02       |  191 |
| 2014-10-09      | 2016-02-21       |  500 |
| 2015-07-29      | 2015-09-25       |   58 |
| 2015-06-18      | 2016-02-15       |  242 |
| 2014-10-28      | 2015-06-09       |  224 |
| 2015-05-17      | 2016-02-29       |  288 |
| 2015-04-15      | 2016-09-09       |  513 |
| 2014-12-17      | 2015-12-23       |  371 |
| 2014-11-08      | 2016-05-03       |  542 |
| 2015-01-23      | 2015-01-08       |  -15 |
| 2015-12-13      | 2015-06-28       | -168 |
| 2015-07-10      | 2016-05-23       |  318 |
| 2015-05-18      | 2015-12-03       |  199 |
| 2016-08-02      | 2014-12-13       | -598 |
| 2015-10-27      | 2014-11-17       | -344 |
| 2015-06-08      | 2015-10-14       |  128 |
| 2016-01-14      | 2016-06-20       |  158 |
| 2016-04-06      | 2014-12-11       | -482 |
| 2014-11-26      | 2015-07-05       |  221 |
| 2015-12-03      | 2015-11-03       |  -30 |
| 2016-05-20      | 2015-07-18       | -307 |
| 2016-02-24      | 2015-01-08       | -412 |
| 2016-02-19      | 2015-11-17       |  -94 |
| 2015-10-07      | 2016-02-15       |  131 |
| 2015-12-26      | 2015-09-19       |  -98 |
| 2016-01-04      | 2015-03-19       | -291 |
| 2015-07-23      | 2014-10-14       | -282 |
| 2014-11-13      | 2015-09-12       |  303 |
| 2015-06-22      | 2016-01-19       |  211 |
| 2016-05-31      | 2016-03-13       |  -79 |
| 2016-01-04      | 2015-02-24       | -314 |
| 2016-03-30      | 2015-10-22       | -160 |
| 2015-05-11      | 2015-03-28       |  -44 |
| 2015-04-07      | 2016-02-09       |  308 |
| 2014-09-25      | 2014-12-07       |   73 |
| 2016-02-11      | 2014-10-21       | -478 |
| 2015-09-17      | 2015-06-04       | -105 |
| 2014-10-23      | 2015-10-16       |  358 |
| 2016-02-17      | 2015-09-05       | -165 |
| 2015-12-03      | 2015-04-11       | -236 |
| 2016-03-16      | 2016-01-28       |  -48 |
| 2015-05-06      | 2015-04-30       |   -6 |
| 2016-05-05      | 2015-09-30       | -218 |
| 2014-12-07      | 2016-07-26       |  597 |
| 2016-01-18      | 2016-01-10       |   -8 |
| 2014-10-19      | 2015-03-10       |  142 |
| 2015-12-06      | 2016-04-24       |  140 |
| 2015-03-18      | 2016-07-27       |  497 |
| 2015-10-08      | 2015-11-13       |   36 |
| 2015-12-27      | 2016-02-04       |   39 |
| 2014-09-24      | 2016-02-09       |  503 |
| 2016-02-23      | 2015-08-04       | -203 |
| 2015-05-24      | 2015-10-08       |  137 |
| 2015-11-22      | 2016-05-31       |  191 |
| 2016-02-12      | 2015-10-27       | -108 |
| 2014-12-15      | 2015-07-17       |  214 |
| 2016-08-06      | 2015-04-18       | -476 |
| 2015-12-06      | 2015-11-24       |  -12 |
| 2016-09-17      | 2014-12-09       | -648 |
| 2014-11-09      | 2015-01-01       |   53 |
| 2015-05-25      | 2014-09-24       | -243 |
| 2015-12-12      | 2016-06-09       |  180 |
| 2015-05-04      | 2015-06-02       |   29 |
| 2015-07-14      | 2015-07-07       |   -7 |
| 2016-03-20      | 2015-11-29       | -112 |
| 2016-06-24      | 2015-04-20       | -431 |
| 2014-11-28      | 2015-02-04       |   68 |
| 2015-02-17      | 2014-10-16       | -124 |
| 2016-03-25      | 2015-04-20       | -340 |
| 2014-11-30      | 2015-01-23       |   54 |
| 2014-12-03      | 2015-02-15       |   74 |
| 2014-11-05      | 2015-10-30       |  359 |
| 2016-06-06      | 2014-10-09       | -606 |
| 2015-08-01      | 2016-02-13       |  196 |
| 2015-12-28      | 2015-06-25       | -186 |
| 2016-02-12      | 2015-06-08       | -249 |
| 2016-09-06      | 2016-08-02       |  -35 |
| 2016-09-16      | 2014-09-25       | -722 |
| 2016-09-02      | 2015-08-27       | -372 |
| 2016-02-21      | 2016-04-05       |   44 |
| 2015-05-13      | 2015-09-16       |  126 |
| 2015-10-11      | 2015-12-28       |   78 |
| 2014-11-28      | 2016-01-28       |  426 |
| 2015-05-31      | 2015-07-30       |   60 |
| 2015-06-29      | 2015-09-15       |   78 |
| 2015-09-29      | 2016-02-04       |  128 |
| 2015-07-16      | 2014-10-29       | -260 |
| 2016-07-07      | 2014-10-22       | -624 |
| 2015-05-23      | 2016-03-03       |  285 |
| 2014-11-03      | 2015-07-28       |  267 |
| 2015-01-29      | 2016-01-27       |  363 |
| 2016-04-16      | 2014-12-13       | -490 |
| 2015-07-05      | 2015-08-31       |   57 |
| 2015-08-29      | 2015-04-21       | -130 |
| 2015-08-26      | 2015-08-30       |    4 |
| 2016-03-31      | 2016-01-13       |  -78 |
| 2014-12-10      | 2015-02-19       |   71 |
| 2015-05-24      | 2014-10-09       | -227 |
| 2016-06-06      | 2016-08-23       |   78 |
| 2015-04-05      | 2015-06-06       |   62 |
| 2016-08-10      | 2015-06-08       | -429 |
| 2016-08-20      | 2016-05-15       |  -97 |
| 2015-11-15      | 2015-06-28       | -140 |
| 2015-10-16      | 2015-04-09       | -190 |
| 2015-02-13      | 2015-08-25       |  193 |
